log10(IA-C),log10(B),log10(C),log10(CAV-C),log10(IV2-C),log10(Pd),log10(Pv),log10(Pa),log10(AAS-C),log10(AVS-C),log10(ADS-C),log10(tc),log10(TP),log10(Tva),Epi/km
-5.552305521,-0.983337607,-1.534192098,-1.044392779,-7.566850471,-6.781016691,-2.994009101,-0.863403642,0.864741233,-2.650494824,-5.33491718,-0.405736779,-3.282417713,-0.407506843,12.29775423
-6.088388056,-0.803041407,-2.088276141,-1.33370785,-8.151233508,-6.729715795,-3.096633123,-0.880450238,0.56706855,-2.911032608,-5.608146663,-0.273787824,-3.0203504,-0.435388887,12.17089683
-5.186737554,-1.068328307,-1.478863457,-0.869264563,-7.01352267,-6.77624384,-2.716001483,-0.728858432,0.986933466,-2.671885029,-5.260706762,-0.341530908,-2.581982657,-0.41958346,13.67764816
-6.944439686,-1.812382883,-3.025726259,-1.9352981,-8.616357435,-7.632963714,-3.616623403,-1.555300563,-0.229027185,-3.73334182,-6.253042913,-0.227686845,-3.279495654,-0.316061354,41.3849862
-6.2170154,-1.381143988,-2.260314254,-1.43210567,-7.990197237,-7.2532025,-3.395795227,-1.350488875,0.309797579,-3.175895265,-5.767152811,-0.181850114,-3.362278654,-0.428389783,20.96780305
-5.893650438,-1.438935507,-1.936444768,-1.238911397,-7.79692471,-7.21166479,-3.204634679,-1.140240876,0.561469372,-3.047548535,-5.621529852,0.088583824,-2.227764819,-0.356133546,26.39222083
-5.731263121,-1.01996682,-2.242389323,-1.171121644,-7.625082287,-7.027188542,-3.076447314,-0.973400458,0.571725158,-2.991288726,-5.546807744,-0.16103711,-2.674404818,-0.425585552,27.09846529
-6.282116003,-1.938353426,-2.145864928,-1.528793047,-8.115384541,-7.288426846,-3.354804025,-1.322665714,0.085495792,-3.336502909,-5.885638094,-0.082765466,-2.91434554,-0.391831591,41.51313474
-5.901522638,-1.244070568,-2.087293915,-1.215726276,-7.825216403,-7.109370169,-3.27727782,-1.086432245,0.625297517,-2.955842444,-5.575055329,-0.288882593,-3.066849124,-0.394952116,20.51506514
-6.620799589,-1.698176783,-2.712328932,-1.684533763,-8.25725669,-7.5573097,-3.524050161,-1.451652938,0.065156359,-3.436099229,-6.006165337,-0.013324186,-3.208441909,-0.321195408,18.39199483
